Row 1419: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5431.06.26
Row 1420: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5432.06.26
Row 1421: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5433.06.26
Row 1422: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5434.06.26
Row 1423: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5435.06.26
Row 1424: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5436.06.26
Row 1425: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5437.06.26
Row 1426: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5438.06.26
Row 1427: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5439.06.26
Row 1428: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-13 00:00:00, Pipe: 5440.06.26
Row 1429: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5441.06.26
Row 1430: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5442.06.26
Row 1431: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5443.06.26
Row 1432: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5444.06.26
Row 1433: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5445.06.26
Row 1434: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5446.06.26
Row 1435: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5447.06.26
Row 1436: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5448.06.26
Row 1437: Đầu vào: 2026-06-07 00:00:00, Ép TL: nan, Pipe: 5449.06.26
Row 1438: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5450.06.26
Row 1439: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5451.06.26
Row 1440: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5452.06.26
Row 1441: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5453.06.26
Row 1442: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5454.06.26
Row 1443: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5455.06.26
Row 1444: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5456.06.26
Row 1445: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5457.06.26
Row 1446: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5458.06.26
Row 1447: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5459.06.26
Row 1448: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5460.06.26
Row 1449: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5461.06.26
Row 1450: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5462.06.26
Row 1451: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5463.06.26
Row 1452: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5464.06.26
Row 1453: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5465.06.26
Row 1454: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5466.06.26
Row 1455: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5467.06.26
Row 1456: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5468.06.26
Row 1457: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5469.06.26
Row 1458: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5470.06.26
Row 1459: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5471.06.26
Row 1460: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5472.06.26
Row 1461: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5473.06.26
Row 1462: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5474.06.26
Row 1463: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5475.06.26
Row 1464: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5476.06.26
Row 1465: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5477.06.26
Row 1466: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5478.06.26
Row 1467: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5479.06.26
Row 1468: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5480.06.26
Row 1469: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5481.06.26
Row 1470: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5482.06.26
Row 1471: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5483.06.26
Row 1472: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5484.06.26
Row 1473: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5485.06.26
Row 1474: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5486.06.26
Row 1475: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5487.06.26
Row 1476: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5488.06.26
Row 1477: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5489.06.26
Row 1478: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5490.06.26
Row 1479: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5491.06.26
Row 1480: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5492.06.26
Row 1481: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5493.06.26
Row 1482: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5494.06.26
Row 1483: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5495.06.26
Row 1484: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5496.06.26
Row 1485: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5497.06.26
Row 1486: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5498.06.26
Row 1487: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5499.06.26
Row 1488: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5500.06.26
Row 1489: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5501.06.26
Row 1490: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5502.06.26
Row 1491: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5503.06.26
Row 1492: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5504.06.26
Row 1493: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5505.06.26
Row 1494: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5506.06.26
Row 1495: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5507.06.26
Row 1496: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5508.06.26
Row 1497: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5509.06.26
Row 1498: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5510.06.26
Row 1499: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5511.06.26
Row 1500: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-09 00:00:00, Pipe: 5512.06.26
Row 1519: Đầu vào: 2026-06-08 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5531.06.26
Row 1523: Đầu vào: 2026-06-08 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5535.06.26
Row 1540: Đầu vào: 2026-06-08 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5552.06.26
Row 1545: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5557.06.26
Row 1546: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5558.06.26
Row 1547: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5559.06.26
Row 1548: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5560.06.26
Row 1549: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5561.06.26
Row 1550: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5562.06.26
Row 1551: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5563.06.26
Row 1552: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5564.06.26
Row 1553: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5565.06.26
Row 1554: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5566.06.26
Row 1555: Đầu vào: 2026-06-09 00:00:00, Ép TL: nan, Pipe: 5567.06.26
Row 1556: Đầu vào: 2026-06-09 00:00:00, Ép TL: 2026-06-11 00:00:00, Pipe: 5568.06.26
